title,description
Avatar,A marine on an alien planet falls in love and joins their fight for survival
Avengers,A group of superheroes come together to save the world
Interstellar,A team travels through a wormhole in search of a new home for humanity
Inception,A thief enters dreams to steal secrets but gets trapped in dream layers
Titanic,A love story on a ship that tragically sinks
The Dark Knight,Batman fights crime in Gotham against the Joker
The Matrix,A hacker discovers the world is a computer simulation
Jurassic Park,Scientists bring dinosaurs back to life leading to chaos
Star Wars,A galactic battle between good and evil across planets
The Martian,An astronaut stranded on Mars fights to survive
RRR,A heroes intenstion to sacethe child and inspire the peoples

